priority,node_pack,repo_url,primary_aiwf_folder,why_cover_it,coverage_status,research_pass,resolved_repo_url,coverage_note
D,ComfyUI-ToSVG,https://github.com/Yanick112/ComfyUI-ToSVG,Vectorization; useful for design pipeline but not core.,,remaining,,,
D,GLSL Nodes,https://github.com/patriciogonzalezvivo/comfyui_glslnodes,Shader/art workflows.,,remaining,,,
D,Power Noise Suite,https://github.com/WASasquatch/PowerNoiseSuite,Noise experimentation; not beginner-modern.,,remaining,,,
D,PPF_Noise_ComfyUI,https://github.com/WASasquatch/PPF_Noise_ComfyUI,Noise experimentation.,,remaining,,,
D,FreeU_Advanced,https://github.com/WASasquatch/FreeU_Advanced,Specific tuning node.,,remaining,,,
D,WAS_Extras,https://github.com/WASasquatch/WAS_Extras,Experimental helper nodes.,,remaining,,,
D,WAS Affine,https://github.com/WASasquatch/was_affine,Latent/noise transform niche.,,remaining,,,
D,ComfyUI Noise,https://github.com/BlenderNeko/ComfyUI_Noise,Noise control; research for advanced sampler chapter.,,remaining,,,
D,ComfyUI_TTP_Toolset,https://github.com/TTPlanetPig/Comfyui_TTP_Toolset,Advanced tile-prompt upscale; potentially useful but complex.,,remaining,,,
D,ComfyUI-Lora-Manager,https://github.com/willmiao/ComfyUI-Lora-Manager,LoRA management; important for AIWF LoRA catalog but separate from workflow JSON.,,remaining,,,
D,ComfyUI-Lora-Auto-Trigger-Words,https://github.com/idrirap/ComfyUI-Lora-Auto-Trigger-Words,Directly relevant to AIWF LoRA tagging idea; research when building that node.,,remaining,,,
D,Lora-Training-in-Comfy,https://github.com/LarryJane491/Lora-Training-in-Comfy,Training workflow; likely fragile and version-dependent.,,remaining,,,
D,ComfyUI-MagicClothing,https://github.com/frankchieng/ComfyUI_MagicClothing,Clothing-specific.,,remaining,,,
D,ComfyUI-Persona-Director,https://github.com/18yz153/ComfyUI-Persona-Director,New/interesting character-state machine; evaluate later.,,remaining,,,
D,ComfyUI-Apt_Preset,https://github.com/cardenluo/ComfyUI-Apt_Preset,Preset/workflow manager; maybe useful for beginner UI.,,remaining,,,
D,ComfyUI-Lumi-Batcher,https://github.com/bytedance/comfyui-lumi-batcher,Debug/batch tool; advanced QA.,,remaining,,,
D,StrawberryFist VRAM Optimizer,https://github.com/strawberryPunch/vram_optimizer,New VRAM utility; verify before recommending.,,remaining,,,
D,ComfyUI_LG_HotReload,https://github.com/LAOGOU-666/ComfyUI-LG_HotReload,"Developer convenience, not user workflow.",,remaining,,,
D,Quick Connections,https://github.com/niknah/quick-connections,Possibly useful UI pack; lower than rgthree/UE.,,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
D,ComfyUI-N-Sidebar,https://github.com/Nuked88/ComfyUI-N-Sidebar,UI sidebar only.,,remaining,,,
D,Flow - Streamlined Way to ComfyUI,https://github.com/diStyApps/ComfyUI-disty-Flow,Alternative runner UI; not workflow node foundation.,,remaining,,,
D,ComfyUI Viewer,https://github.com/WASasquatch/ComfyUI_Viewer,Useful content viewer; not core workflow generation.,,remaining,,,
D,ComfyUI ArtGallery,https://github.com/ZHO-ZHO-ZHO/ComfyUI-ArtGallery,Prompt visualization/gallery.,,remaining,,,
D,ComfyUI Web Viewer,https://github.com/VrchStudio/comfyui-web-viewer,Realtime art framework; specialized.,,remaining,,,
D,Endlessly Buttons,https://github.com/tusharbhutt/Endless-Buttons,JS UI tweaks; not workflow logic.,,remaining,,,
